"complex_name","province","city","address","household_number","heating_system","house_type","elevator","rental_business_operator","parkinglot_number","building_shape","building_completion_date"
화성상리 1블록 행복주택,경기도,화성시,경기도 화성시 봉담읍 삼천병마로 1256-13,"450","",아파트,"",LH경기남부,"0","","2021-11-10"
화성동탄2 지원6-2블록 지역전략산업지원주택,경기도,화성시,경기도 화성시 동탄첨단산업1로 57,"280","","","",LH경기남부,"0","","2022-04-29"
화성진안2,경기도,화성시,경기도 화성시 효행로1040번길 9,"15",개별난방,아파트,전체동 설치,경기주택도시공사,"15",계단식,"2018-02-28"
화성동탄2 LH2단지,경기도,화성시,경기도 화성시 동탄영천로 108-21,"1640",지역난방,아파트,"",LH경기남부,"0",혼합식,"2020-06-25"
남양뉴타운 B-9블록 행복주택,경기도,화성시,경기도 화성시 남양읍 남양중앙로 420,"880","",아파트,"",LH경기남부,"0","","2022-03-31"
화성발안(1단지)(행복임대상가),경기도,화성시,경기도 화성시 향남읍 발안공단로 92-12,"608",지역난방,아파트,"",LH경기남부,"0",복도식,"2019-07-12"
A5BL,경기도,화성시,경기도 화성시 남양읍 남양로862번길 16,"410",지역난방,아파트,"",LH경기남부,"0",복도식,"2020-03-02"
화성동탄2 LH38단지,경기도,화성시,경기도 화성시 동탄신리천로5길 90,"700",지역난방,아파트,"",LH경기남부,"0","","2022-12-31"
디루체,경기도,화성시,경기도 화성시 동탄신리천로2길 65,"390","",아파트,"",LH경기남부,"0","","2022-04-30"
화성향남2(20단지)(행복임대상가),경기도,화성시,경기도 화성시 향남읍 벌말길 24,"99",지역난방,아파트,"",LH경기남부,"0",복도식,"2019-07-12"
언덕마을 15단지,경기도,화성시,경기도 화성시 향남읍 향남로39번길 22,"922",지역난방,아파트,"",LH경기남부,"0","","2022-12-31"
A6BL,경기도,화성시,경기도 화성시 봉담읍 상리3길 111,"602",지역난방,아파트,"",LH경기남부,"0",복도식,"2019-07-30"
화성동탄2 C26블럭(26단지)(행복),경기도,화성시,경기도 화성시 동탄기흥로277번길 12,"608",지역난방,아파트,전체동 설치,LH경기남부,"258",복도식,"2017-02-13"
화성동탄2 A82블럭(28단지)(행복),경기도,화성시,경기도 화성시 동탄순환대로2길 13,"820","",아파트,"",LH경기남부,"0","","2019-03-22"
화성동탄2 A77-1블럭(35단지)(행복),경기도,화성시,경기도 화성시 동탄순환대로10길 42,"900","",아파트,"",LH경기남부,"0","","2020-04-20"
화성진안1,경기도,화성시,경기도 화성시 효행로 988-14,"16",개별난방,아파트,전체동 설치,경기주택도시공사,"16",계단식,"2018-03-15"
병점복합타운A1행복주택,경기도,화성시,경기도 화성시 병점노을1로 14,"862",지역난방,아파트,전체동 설치,LH경기남부,"465","","2022-02-28"
화성동탄2 A-54블록 행복주택,경기도,화성시,경기도 화성시 동탄신리천로5가길 35,"1350",지역난방,아파트,"",LH경기남부,"0","","2023-04-30"
화성능동 B-1블록 신혼희망타운 행복주택,경기도,화성시,경기도 화성시 서동탄로 71,"149","",아파트,"",LH경기남부,"0","","2023-03-17"
엘크루 루엘리안,경기도,화성시,경기도 화성시 봉담읍 상리2길 121,"152","",아파트,"",LH경기남부,"0","","2022-07-30"
화성비봉 A-2블록 행복주택,경기도,화성시,경기도 화성시 비봉면 새비봉동로 17,"440","",아파트,"",LH경기남부,"0","","2021-06-10"
화성비봉 A-5블록 행복·영구임대주택,경기도,화성시,경기도 화성시 비봉면 새비봉서로 96,"758","",아파트,"",LH경기남부,"0","","2023-06-30"
"40단지",경기도,화성시,경기도 화성시 동탄신리천로8길 15,"850","",아파트,"",LH경기남부,"0","","2021-12-16"
남양뉴타운 B-10블록 행복·국민·영구임대주택,경기도,화성시,경기도 화성시 남양읍 남양중앙로 419,"696","",아파트,"",LH경기남부,"0","","2022-06-30"
